time	V(v_y)	V(v_out)	V(v_x)	V(v_90)	V(v_0)
0.000000000000000e+00	-6.377802e-01	-2.997901e-04	-3.834521e-06	2.226866e-01	2.226866e-01
9.999999999344301e-11	-6.376945e-01	-2.997588e-04	-3.834556e-06	2.226866e-01	2.226866e-01
2.999999999938815e-10	-6.375231e-01	-2.996963e-04	-3.834627e-06	2.226866e-01	2.226866e-01
6.999999999947586e-10	-6.371803e-01	-2.995712e-04	-3.834768e-06	2.226866e-01	2.226866e-01
1.499999999996513e-09	-6.364946e-01	-2.993211e-04	-3.835049e-06	2.226866e-01	2.226866e-01
2.499999999998706e-09	-6.356373e-01	-2.990084e-04	-3.835400e-06	2.226866e-01	2.226866e-01
3.500000000000898e-09	-6.347799e-01	-2.986957e-04	-3.835749e-06	2.226866e-01	2.226866e-01
4.500000000003091e-09	-6.339224e-01	-2.983829e-04	-3.836097e-06	2.226866e-01	2.226866e-01
5.500000000005284e-09	-6.330647e-01	-2.980701e-04	-3.836443e-06	2.226866e-01	2.226866e-01
6.500000000007476e-09	-6.322069e-01	-2.977573e-04	-3.836788e-06	2.226866e-01	2.226866e-01
7.500000000009669e-09	-6.313488e-01	-2.974445e-04	-3.837131e-06	2.226866e-01	2.226866e-01
8.500000000011862e-09	-6.304907e-01	-2.971316e-04	-3.837473e-06	2.226866e-01	2.226866e-01
9.500000000014054e-09	-6.296325e-01	-2.968187e-04	-3.837813e-06	2.226866e-01	2.226866e-01
1.050000000001625e-08	-6.287740e-01	-2.965058e-04	-3.838151e-06	2.226866e-01	2.226866e-01
1.150000000001844e-08	-6.279155e-01	-2.961929e-04	-3.838488e-06	2.226866e-01	2.226866e-01
1.250000000002063e-08	-6.270568e-01	-2.958799e-04	-3.838823e-06	2.226866e-01	2.226866e-01
1.350000000002283e-08	-6.261979e-01	-2.955669e-04	-3.839157e-06	2.226866e-01	2.226866e-01
1.450000000002502e-08	-6.253389e-01	-2.952538e-04	-3.839490e-06	2.226866e-01	2.226866e-01
1.550000000002721e-08	-6.244798e-01	-2.949408e-04	-3.839821e-06	2.226866e-01	2.226866e-01
1.650000000002940e-08	-6.236205e-01	-2.946277e-04	-3.840150e-06	2.226866e-01	2.226866e-01
1.750000000003160e-08	-6.227611e-01	-2.943146e-04	-3.840477e-06	2.226866e-01	2.226866e-01
1.850000000003379e-08	-6.219015e-01	-2.940015e-04	-3.840804e-06	2.226866e-01	2.226866e-01
1.950000000003598e-08	-6.210418e-01	-2.936883e-04	-3.841129e-06	2.226866e-01	2.226866e-01
2.050000000003817e-08	-6.201820e-01	-2.933751e-04	-3.841451e-06	2.226866e-01	2.226866e-01
2.150000000004037e-08	-6.193220e-01	-2.930619e-04	-3.841773e-06	2.226866e-01	2.226866e-01
2.250000000004256e-08	-6.184619e-01	-2.927486e-04	-3.842093e-06	2.226866e-01	2.226866e-01
2.350000000004475e-08	-6.176016e-01	-2.924353e-04	-3.842412e-06	2.226866e-01	2.226866e-01
2.450000000004695e-08	-6.167412e-01	-2.921221e-04	-3.842729e-06	2.226866e-01	2.226866e-01
2.550000000004914e-08	-6.158807e-01	-2.918087e-04	-3.843044e-06	2.226866e-01	2.226866e-01
2.650000000005133e-08	-6.150200e-01	-2.914954e-04	-3.843358e-06	2.226866e-01	2.226866e-01
2.750000000005352e-08	-6.141592e-01	-2.911820e-04	-3.843671e-06	2.226866e-01	2.226866e-01
2.850000000005572e-08	-6.132982e-01	-2.908686e-04	-3.843981e-06	2.226866e-01	2.226866e-01
2.950000000005791e-08	-6.124372e-01	-2.905552e-04	-3.844290e-06	2.226866e-01	2.226866e-01
3.050000000006010e-08	-6.115760e-01	-2.902417e-04	-3.844598e-06	2.226866e-01	2.226866e-01
3.150000000006229e-08	-6.107146e-01	-2.899282e-04	-3.844905e-06	2.226866e-01	2.226866e-01
3.250000000006449e-08	-6.098531e-01	-2.896147e-04	-3.845209e-06	2.226866e-01	2.226866e-01
3.350000000006668e-08	-6.089914e-01	-2.893012e-04	-3.845512e-06	2.226866e-01	2.226866e-01
3.450000000006887e-08	-6.081297e-01	-2.889876e-04	-3.845814e-06	2.226866e-01	2.226866e-01
3.550000000007106e-08	-6.072677e-01	-2.886741e-04	-3.846114e-06	2.226866e-01	2.226866e-01
3.650000000007326e-08	-6.064057e-01	-2.883605e-04	-3.846413e-06	2.226866e-01	2.226866e-01
3.750000000007545e-08	-6.055435e-01	-2.880468e-04	-3.846710e-06	2.226866e-01	2.226866e-01
3.850000000007764e-08	-6.046812e-01	-2.877332e-04	-3.847005e-06	2.226866e-01	2.226866e-01
3.950000000007984e-08	-6.038188e-01	-2.874195e-04	-3.847299e-06	2.226866e-01	2.226866e-01
4.050000000008203e-08	-6.029562e-01	-2.871058e-04	-3.847592e-06	2.226866e-01	2.226866e-01
4.150000000008422e-08	-6.020935e-01	-2.867921e-04	-3.847882e-06	2.226866e-01	2.226866e-01
4.250000000008641e-08	-6.012306e-01	-2.864783e-04	-3.848172e-06	2.226866e-01	2.226866e-01
4.350000000008861e-08	-6.003676e-01	-2.861645e-04	-3.848460e-06	2.226866e-01	2.226866e-01
4.450000000009080e-08	-5.995045e-01	-2.858507e-04	-3.848746e-06	2.226866e-01	2.226866e-01
4.550000000009299e-08	-5.986413e-01	-2.855369e-04	-3.849031e-06	2.226866e-01	2.226866e-01
4.650000000009518e-08	-5.977779e-01	-2.852231e-04	-3.849314e-06	2.226866e-01	2.226866e-01
4.750000000009738e-08	-5.969144e-01	-2.849092e-04	-3.849596e-06	2.226866e-01	2.226866e-01
4.850000000009957e-08	-5.960507e-01	-2.845953e-04	-3.849876e-06	2.226866e-01	2.226866e-01
4.950000000010176e-08	-5.951869e-01	-2.842814e-04	-3.850154e-06	2.226866e-01	2.226866e-01
5.050000000010396e-08	-5.943230e-01	-2.839674e-04	-3.850432e-06	2.226866e-01	2.226866e-01
5.150000000010615e-08	-5.934590e-01	-2.836535e-04	-3.850707e-06	2.226866e-01	2.226866e-01
5.250000000010834e-08	-5.925949e-01	-2.833395e-04	-3.850981e-06	2.226866e-01	2.226866e-01
5.350000000011053e-08	-5.917306e-01	-2.830255e-04	-3.851254e-06	2.226866e-01	2.226866e-01
5.450000000011273e-08	-5.908661e-01	-2.827115e-04	-3.851525e-06	2.226866e-01	2.226866e-01
5.550000000011492e-08	-5.900016e-01	-2.823974e-04	-3.851794e-06	2.226866e-01	2.226866e-01
5.650000000011711e-08	-5.891369e-01	-2.820833e-04	-3.852062e-06	2.226866e-01	2.226866e-01
5.750000000011930e-08	-5.882721e-01	-2.817692e-04	-3.852329e-06	2.226866e-01	2.226866e-01
5.850000000012150e-08	-5.874072e-01	-2.814551e-04	-3.852593e-06	2.226866e-01	2.226866e-01
5.950000000012369e-08	-5.865421e-01	-2.811410e-04	-3.852856e-06	2.226866e-01	2.226866e-01
6.050000000012588e-08	-5.856769e-01	-2.808268e-04	-3.853118e-06	2.226866e-01	2.226866e-01
6.150000000012808e-08	-5.848116e-01	-2.805126e-04	-3.853379e-06	2.226866e-01	2.226866e-01
6.250000000013027e-08	-5.839462e-01	-2.801984e-04	-3.853637e-06	2.226866e-01	2.226866e-01
6.350000000013246e-08	-5.830806e-01	-2.798842e-04	-3.853894e-06	2.226866e-01	2.226866e-01
6.450000000013465e-08	-5.822149e-01	-2.795699e-04	-3.854150e-06	2.226866e-01	2.226866e-01
6.550000000013685e-08	-5.813490e-01	-2.792557e-04	-3.854404e-06	2.226866e-01	2.226866e-01
6.650000000013904e-08	-5.804831e-01	-2.789414e-04	-3.854657e-06	2.226866e-01	2.226866e-01
6.750000000014123e-08	-5.796170e-01	-2.786271e-04	-3.854908e-06	2.226866e-01	2.226866e-01
6.850000000014342e-08	-5.787508e-01	-2.783127e-04	-3.855157e-06	2.226866e-01	2.226866e-01
6.950000000014562e-08	-5.778845e-01	-2.779984e-04	-3.855405e-06	2.226866e-01	2.226866e-01
7.050000000014781e-08	-5.770180e-01	-2.776840e-04	-3.855651e-06	2.226866e-01	2.226866e-01
7.150000000015000e-08	-5.761515e-01	-2.773696e-04	-3.855896e-06	2.226866e-01	2.226866e-01
7.250000000015220e-08	-5.752848e-01	-2.770552e-04	-3.856140e-06	2.226866e-01	2.226866e-01
7.350000000015439e-08	-5.744179e-01	-2.767408e-04	-3.856382e-06	2.226866e-01	2.226866e-01
7.450000000015658e-08	-5.735510e-01	-2.764263e-04	-3.856622e-06	2.226866e-01	2.226866e-01
7.550000000015877e-08	-5.726839e-01	-2.761118e-04	-3.856861e-06	2.226866e-01	2.226866e-01
7.650000000016097e-08	-5.718167e-01	-2.757973e-04	-3.857098e-06	2.226866e-01	2.226866e-01
7.750000000016316e-08	-5.709494e-01	-2.754828e-04	-3.857334e-06	2.226866e-01	2.226866e-01
7.850000000016535e-08	-5.700820e-01	-2.751683e-04	-3.857568e-06	2.226866e-01	2.226866e-01
7.950000000016754e-08	-5.692145e-01	-2.748537e-04	-3.857800e-06	2.226866e-01	2.226866e-01
8.050000000016974e-08	-5.683468e-01	-2.745392e-04	-3.858032e-06	2.226866e-01	2.226866e-01
8.150000000017193e-08	-5.674790e-01	-2.742246e-04	-3.858261e-06	2.226866e-01	2.226866e-01
8.250000000017412e-08	-5.666111e-01	-2.739099e-04	-3.858489e-06	2.226866e-01	2.226866e-01
8.350000000017632e-08	-5.657430e-01	-2.735953e-04	-3.858716e-06	2.226866e-01	2.226866e-01
8.450000000017851e-08	-5.648749e-01	-2.732807e-04	-3.858941e-06	2.226866e-01	2.226866e-01
8.550000000018070e-08	-5.640066e-01	-2.729660e-04	-3.859164e-06	2.226866e-01	2.226866e-01
8.650000000018289e-08	-5.631382e-01	-2.726513e-04	-3.859386e-06	2.226866e-01	2.226866e-01
8.750000000018509e-08	-5.622697e-01	-2.723366e-04	-3.859607e-06	2.226866e-01	2.226866e-01
8.850000000018728e-08	-5.614011e-01	-2.720219e-04	-3.859825e-06	2.226866e-01	2.226866e-01
8.950000000018947e-08	-5.605323e-01	-2.717072e-04	-3.860043e-06	2.226866e-01	2.226866e-01
9.050000000019166e-08	-5.596635e-01	-2.713924e-04	-3.860259e-06	2.226866e-01	2.226866e-01
9.150000000019386e-08	-5.587945e-01	-2.710776e-04	-3.860473e-06	2.226866e-01	2.226866e-01
9.250000000019605e-08	-5.579254e-01	-2.707628e-04	-3.860686e-06	2.226866e-01	2.226866e-01
9.350000000019824e-08	-5.570562e-01	-2.704480e-04	-3.860897e-06	2.226866e-01	2.226866e-01
9.450000000020043e-08	-5.561869e-01	-2.701332e-04	-3.861107e-06	2.226866e-01	2.226866e-01
9.550000000020263e-08	-5.553174e-01	-2.698183e-04	-3.861315e-06	2.226866e-01	2.226866e-01
9.650000000020482e-08	-5.544478e-01	-2.695035e-04	-3.861521e-06	2.226866e-01	2.226866e-01
9.750000000020701e-08	-5.535781e-01	-2.691886e-04	-3.861726e-06	2.226866e-01	2.226866e-01
9.850000000020921e-08	-5.527083e-01	-2.688737e-04	-3.861930e-06	2.226866e-01	2.226866e-01
9.950000000021140e-08	-5.518385e-01	-2.685588e-04	-3.862132e-06	2.226866e-01	2.226866e-01
1.005000000002136e-07	-5.509684e-01	-2.682438e-04	-3.862333e-06	2.226866e-01	2.226866e-01
1.015000000002158e-07	-5.500982e-01	-2.679289e-04	-3.862532e-06	2.226866e-01	2.226866e-01
1.025000000002180e-07	-5.492280e-01	-2.676139e-04	-3.862729e-06	2.226866e-01	2.226866e-01
1.035000000002202e-07	-5.483577e-01	-2.672990e-04	-3.862925e-06	2.226866e-01	2.226866e-01
1.045000000002224e-07	-5.474871e-01	-2.669840e-04	-3.863119e-06	2.226866e-01	2.226866e-01
1.055000000002246e-07	-5.466166e-01	-2.666689e-04	-3.863312e-06	2.226866e-01	2.226866e-01
1.065000000002267e-07	-5.457458e-01	-2.663539e-04	-3.863503e-06	2.226866e-01	2.226866e-01
1.075000000002289e-07	-5.448750e-01	-2.660389e-04	-3.863694e-06	2.226866e-01	2.226866e-01
1.085000000002311e-07	-5.440041e-01	-2.657238e-04	-3.863882e-06	2.226866e-01	2.226866e-01
1.095000000002333e-07	-5.431331e-01	-2.654087e-04	-3.864068e-06	2.226866e-01	2.226866e-01
1.105000000002355e-07	-5.422620e-01	-2.650936e-04	-3.864254e-06	2.226866e-01	2.226866e-01
1.115000000002377e-07	-5.413907e-01	-2.647785e-04	-3.864438e-06	2.226866e-01	2.226866e-01
1.125000000002399e-07	-5.405193e-01	-2.644634e-04	-3.864619e-06	2.226866e-01	2.226866e-01
1.135000000002421e-07	-5.396478e-01	-2.641483e-04	-3.864800e-06	2.226866e-01	2.226866e-01
1.145000000002443e-07	-5.387762e-01	-2.638331e-04	-3.864979e-06	2.226866e-01	2.226866e-01
1.155000000002465e-07	-5.379046e-01	-2.635179e-04	-3.865157e-06	2.226866e-01	2.226866e-01
1.165000000002487e-07	-5.370327e-01	-2.632027e-04	-3.865333e-06	2.226866e-01	2.226866e-01
1.175000000002509e-07	-5.361608e-01	-2.628875e-04	-3.865508e-06	2.226866e-01	2.226866e-01
1.185000000002531e-07	-5.352888e-01	-2.625723e-04	-3.865680e-06	2.226866e-01	2.226866e-01
1.195000000002553e-07	-5.344167e-01	-2.622571e-04	-3.865852e-06	2.226866e-01	2.226866e-01
1.205000000002574e-07	-5.335444e-01	-2.619419e-04	-3.866022e-06	2.226866e-01	2.226866e-01
1.215000000002596e-07	-5.326720e-01	-2.616266e-04	-3.866191e-06	2.226866e-01	2.226866e-01
1.225000000002618e-07	-5.317996e-01	-2.613113e-04	-3.866357e-06	2.226866e-01	2.226866e-01
1.235000000002640e-07	-5.309271e-01	-2.609961e-04	-3.866523e-06	2.226866e-01	2.226866e-01
1.245000000002662e-07	-5.300544e-01	-2.606807e-04	-3.866687e-06	2.226866e-01	2.226866e-01
1.255000000002684e-07	-5.291816e-01	-2.603654e-04	-3.866849e-06	2.226866e-01	2.226866e-01
1.265000000002706e-07	-5.283087e-01	-2.600501e-04	-3.867010e-06	2.226866e-01	2.226866e-01
1.275000000002728e-07	-5.274358e-01	-2.597348e-04	-3.867169e-06	2.226866e-01	2.226866e-01
1.285000000002750e-07	-5.265627e-01	-2.594194e-04	-3.867327e-06	2.226866e-01	2.226866e-01
1.295000000002772e-07	-5.256895e-01	-2.591040e-04	-3.867483e-06	2.226866e-01	2.226866e-01
1.305000000002794e-07	-5.248162e-01	-2.587887e-04	-3.867638e-06	2.226866e-01	2.226866e-01
1.315000000002816e-07	-5.239428e-01	-2.584733e-04	-3.867791e-06	2.226866e-01	2.226866e-01
1.325000000002838e-07	-5.230693e-01	-2.581579e-04	-3.867942e-06	2.226866e-01	2.226866e-01
1.335000000002860e-07	-5.221958e-01	-2.578425e-04	-3.868092e-06	2.226866e-01	2.226866e-01
1.345000000002881e-07	-5.213220e-01	-2.575270e-04	-3.868241e-06	2.226866e-01	2.226866e-01
1.355000000002903e-07	-5.204482e-01	-2.572116e-04	-3.868388e-06	2.226866e-01	2.226866e-01
1.365000000002925e-07	-5.195743e-01	-2.568961e-04	-3.868533e-06	2.226866e-01	2.226866e-01
1.375000000002947e-07	-5.187003e-01	-2.565807e-04	-3.868678e-06	2.226866e-01	2.226866e-01
