time	V(v_y)	V(v_out)	V(v_x)	V(v_90)	V(v_0)
0.000000000000000e+00	-7.993396e-01	-3.624049e-03	-5.671946e-05	2.226866e-01	2.226866e-01
9.999999999344301e-11	-7.992571e-01	-3.623611e-03	-5.672006e-05	2.226866e-01	2.226866e-01
2.999999999938815e-10	-7.990921e-01	-3.622735e-03	-5.672126e-05	2.226866e-01	2.226866e-01
6.999999999947586e-10	-7.987620e-01	-3.620982e-03	-5.672365e-05	2.226866e-01	2.226866e-01
1.499999999996513e-09	-7.981018e-01	-3.617476e-03	-5.672842e-05	2.226866e-01	2.226866e-01
2.499999999998706e-09	-7.972764e-01	-3.613092e-03	-5.673436e-05	2.226866e-01	2.226866e-01
3.500000000000898e-09	-7.964507e-01	-3.608708e-03	-5.674028e-05	2.226866e-01	2.226866e-01
4.500000000003091e-09	-7.956248e-01	-3.604323e-03	-5.674617e-05	2.226866e-01	2.226866e-01
5.500000000005284e-09	-7.947987e-01	-3.599937e-03	-5.675205e-05	2.226866e-01	2.226866e-01
6.500000000007476e-09	-7.939723e-01	-3.595551e-03	-5.675790e-05	2.226866e-01	2.226866e-01
7.500000000009669e-09	-7.931458e-01	-3.591164e-03	-5.676373e-05	2.226866e-01	2.226866e-01
8.500000000011862e-09	-7.923191e-01	-3.586776e-03	-5.676953e-05	2.226866e-01	2.226866e-01
9.500000000014054e-09	-7.914921e-01	-3.582387e-03	-5.677532e-05	2.226866e-01	2.226866e-01
1.050000000001625e-08	-7.906649e-01	-3.577998e-03	-5.678107e-05	2.226866e-01	2.226866e-01
1.150000000001844e-08	-7.898375e-01	-3.573608e-03	-5.678681e-05	2.226866e-01	2.226866e-01
1.250000000002063e-08	-7.890099e-01	-3.569217e-03	-5.679253e-05	2.226866e-01	2.226866e-01
1.350000000002283e-08	-7.881821e-01	-3.564826e-03	-5.679822e-05	2.226866e-01	2.226866e-01
1.450000000002502e-08	-7.873541e-01	-3.560433e-03	-5.680388e-05	2.226866e-01	2.226866e-01
1.550000000002721e-08	-7.865258e-01	-3.556040e-03	-5.680953e-05	2.226866e-01	2.226866e-01
1.650000000002940e-08	-7.856974e-01	-3.551647e-03	-5.681516e-05	2.226866e-01	2.226866e-01
1.750000000003160e-08	-7.848688e-01	-3.547252e-03	-5.682075e-05	2.226866e-01	2.226866e-01
1.850000000003379e-08	-7.840399e-01	-3.542857e-03	-5.682633e-05	2.226866e-01	2.226866e-01
1.950000000003598e-08	-7.832108e-01	-3.538462e-03	-5.683189e-05	2.226866e-01	2.226866e-01
2.050000000003817e-08	-7.823815e-01	-3.534065e-03	-5.683742e-05	2.226866e-01	2.226866e-01
2.150000000004037e-08	-7.815521e-01	-3.529668e-03	-5.684293e-05	2.226866e-01	2.226866e-01
2.250000000004256e-08	-7.807224e-01	-3.525270e-03	-5.684841e-05	2.226866e-01	2.226866e-01
2.350000000004475e-08	-7.798924e-01	-3.520871e-03	-5.685388e-05	2.226866e-01	2.226866e-01
2.450000000004695e-08	-7.790623e-01	-3.516472e-03	-5.685932e-05	2.226866e-01	2.226866e-01
2.550000000004914e-08	-7.782320e-01	-3.512072e-03	-5.686474e-05	2.226866e-01	2.226866e-01
2.650000000005133e-08	-7.774015e-01	-3.507671e-03	-5.687013e-05	2.226866e-01	2.226866e-01
2.750000000005352e-08	-7.765707e-01	-3.503270e-03	-5.687551e-05	2.226866e-01	2.226866e-01
2.850000000005572e-08	-7.757398e-01	-3.498868e-03	-5.688085e-05	2.226866e-01	2.226866e-01
2.950000000005791e-08	-7.749087e-01	-3.494465e-03	-5.688618e-05	2.226866e-01	2.226866e-01
3.050000000006010e-08	-7.740774e-01	-3.490061e-03	-5.689148e-05	2.226866e-01	2.226866e-01
3.150000000006229e-08	-7.732458e-01	-3.485657e-03	-5.689677e-05	2.226866e-01	2.226866e-01
3.250000000006449e-08	-7.724140e-01	-3.481253e-03	-5.690202e-05	2.226866e-01	2.226866e-01
3.350000000006668e-08	-7.715821e-01	-3.476847e-03	-5.690726e-05	2.226866e-01	2.226866e-01
3.450000000006887e-08	-7.707499e-01	-3.472441e-03	-5.691247e-05	2.226866e-01	2.226866e-01
3.550000000007106e-08	-7.699175e-01	-3.468034e-03	-5.691766e-05	2.226866e-01	2.226866e-01
3.650000000007326e-08	-7.690850e-01	-3.463626e-03	-5.692283e-05	2.226866e-01	2.226866e-01
3.750000000007545e-08	-7.682522e-01	-3.459218e-03	-5.692797e-05	2.226866e-01	2.226866e-01
3.850000000007764e-08	-7.674193e-01	-3.454809e-03	-5.693310e-05	2.226866e-01	2.226866e-01
3.950000000007984e-08	-7.665861e-01	-3.450399e-03	-5.693820e-05	2.226866e-01	2.226866e-01
4.050000000008203e-08	-7.657527e-01	-3.445989e-03	-5.694327e-05	2.226866e-01	2.226866e-01
4.150000000008422e-08	-7.649192e-01	-3.441578e-03	-5.694832e-05	2.226866e-01	2.226866e-01
4.250000000008641e-08	-7.640854e-01	-3.437167e-03	-5.695335e-05	2.226866e-01	2.226866e-01
4.350000000008861e-08	-7.632514e-01	-3.432754e-03	-5.695836e-05	2.226866e-01	2.226866e-01
4.450000000009080e-08	-7.624172e-01	-3.428341e-03	-5.696334e-05	2.226866e-01	2.226866e-01
4.550000000009299e-08	-7.615829e-01	-3.423928e-03	-5.696831e-05	2.226866e-01	2.226866e-01
4.650000000009518e-08	-7.607483e-01	-3.419513e-03	-5.697325e-05	2.226866e-01	2.226866e-01
4.750000000009738e-08	-7.599135e-01	-3.415098e-03	-5.697817e-05	2.226866e-01	2.226866e-01
4.850000000009957e-08	-7.590785e-01	-3.410683e-03	-5.698306e-05	2.226866e-01	2.226866e-01
4.950000000010176e-08	-7.582434e-01	-3.406266e-03	-5.698793e-05	2.226866e-01	2.226866e-01
5.050000000010396e-08	-7.574080e-01	-3.401849e-03	-5.699278e-05	2.226866e-01	2.226866e-01
5.150000000010615e-08	-7.565724e-01	-3.397432e-03	-5.699760e-05	2.226866e-01	2.226866e-01
5.250000000010834e-08	-7.557367e-01	-3.393014e-03	-5.700241e-05	2.226866e-01	2.226866e-01
5.350000000011053e-08	-7.549008e-01	-3.388595e-03	-5.700719e-05	2.226866e-01	2.226866e-01
5.450000000011273e-08	-7.540646e-01	-3.384175e-03	-5.701194e-05	2.226866e-01	2.226866e-01
5.550000000011492e-08	-7.532282e-01	-3.379755e-03	-5.701668e-05	2.226866e-01	2.226866e-01
5.650000000011711e-08	-7.523917e-01	-3.375334e-03	-5.702139e-05	2.226866e-01	2.226866e-01
5.750000000011930e-08	-7.515550e-01	-3.370913e-03	-5.702608e-05	2.226866e-01	2.226866e-01
5.850000000012150e-08	-7.507181e-01	-3.366491e-03	-5.703074e-05	2.226866e-01	2.226866e-01
5.950000000012369e-08	-7.498809e-01	-3.362068e-03	-5.703539e-05	2.226866e-01	2.226866e-01
6.050000000012588e-08	-7.490436e-01	-3.357645e-03	-5.704001e-05	2.226866e-01	2.226866e-01
6.150000000012808e-08	-7.482061e-01	-3.353221e-03	-5.704461e-05	2.226866e-01	2.226866e-01
6.250000000013027e-08	-7.473684e-01	-3.348796e-03	-5.704918e-05	2.226866e-01	2.226866e-01
6.350000000013246e-08	-7.465305e-01	-3.344371e-03	-5.705373e-05	2.226866e-01	2.226866e-01
6.450000000013465e-08	-7.456924e-01	-3.339945e-03	-5.705826e-05	2.226866e-01	2.226866e-01
